,1_dialogue_liveliness,2_phonic_connection,3_silent_roles,4_unused_characters,5_major_characters,6_character_activity,7_character_dynamics,8_character_return,9_trag_chr,10_com_chr,11_movement,12_nessary_gestures,13_behind_scene,14_plot_twists,15_exposition
Mélite_1629_C,22.1,2.2,100,91.8,17.7,14.2,31.6,72.4,61.3,76.8,-1.3,85.7,61.5,30.4,27.5
LaVeuve_1631_C,18.9,5.3,100,47.5,-5.8,14.2,18.4,44.4,75.4,54.4,13.8,4.2,100,25,11.6
LaGalerie_1632_C,35,3.2,100,47.5,67.2,20,36.8,68.2,48.7,47,49,56.3,100,25,27.5
LaSuivante_1634_C,12.4,-1.6,100,60,31.8,17.1,23.6,46.5,100,23.6,56.8,68.8,100,35.8,74
LaPlace_1634_C,-17,0.7,-140.1,20,13,20,0,39.1,62.3,23.6,31.2,25,100,19.5,34.7
Illusion_1646_C,15.2,1.8,-0.3,55,25.4,11.4,-7.9,58.7,48.7,0.8,14.3,114.5,61.5,19.5,-3
LeMenteur_1643_C,67.2,18.1,100,40.6,-5.8,25.7,15.7,-40.2,38.6,41.4,1.8,45.8,100,14.1,63.7
LeMenteur2_1645_C,58,19.7,100,21.2,34.4,54.2,31.6,-24.7,-31.2,51,-18,56.3,61.5,-2.1,58
Clitandre_1631_T,-19.3,-8.8,-140.1,-38.2,-53,-14.2,-15.7,125.4,-22.7,-35.8,12.8,170.8,-53.8,25,-81
Médée_1635_T,-40,-19.4,-117,-5.7,-31.8,-22.8,-21.4,-51.8,-67.1,-52,-15.1,14.5,-92.3,-29.3,-45
LeCid_1637_T,-8.3,-6.1,100,-92.6,-21.2,-17.1,18.1,5.8,-79.1,-26.5,-5.5,-47.9,-53.8,-23.9,-10
Horace_1640_T,-49.3,-3.1,-8.1,8.8,2.6,-48.6,-39.4,-60.8,-67.1,-52,-28,-68.8,-169.2,-45.6,-3
Cinna_1643_T,-42.8,-9.9,-17.2,-7.5,-21.4,-34.2,-42.1,-100,-67.1,-38.1,-40.8,-89.5,23,-40.2,-26
Polyeucte_1642_T,-0.9,5.1,-20,-81.9,-5.8,-11.4,-21.4,-83,-53.4,-64.6,-31.6,-100,-92.3,-40.2,-55
Pompée_1643_T,-57.2,7.2,-157,-166.9,-46.3,-28.5,-29,-100,-53.4,-49.6,-39.4,-100,-246.1,-13,-74
